,nagoya-grampus-eight,consadole-sapporo
Shots,12,19
ShotsOnTarget,3,7
ShotsFromPK,1,1
Passes,490,598
Crosses,9,12
DirectFK,17,3
IndirectFK,5,0
CK,3,4
Throwin,14,11
Dribbling,17,17
Tackles,14,28
Clearances,19,29
Intercepts,5,4
Offsides,0,5
YellowCards,3,2
RedCards,1,0
30mLineEntries,35,65
PenaltyAreaEntries,17,30
DistanceCovered,108399,114456
Sprints,126,165
Attacks,119,107
ChanceBuildingRate,10.1,17.8
Possession,44.7,55.3
