,sagan-tosu,vissel-kobe
Shots,7,19
ShotsOnTarget,2,7
ShotsFromPK,1,0
Passes,328,646
Crosses,12,24
DirectFK,16,16
IndirectFK,1,2
CK,2,12
Throwin,18,30
Dribbling,13,15
Tackles,22,21
Clearances,48,20
Intercepts,1,0
Offsides,2,1
YellowCards,1,4
RedCards,0,0
30mLineEntries,31,52
PenaltyAreaEntries,9,18
DistanceCovered,119409,117921
Sprints,163,163
Attacks,126,147
ChanceBuildingRate,5.6,12.9
Possession,38.6,61.4
