,sagan-tosu,kawasaki-frontale
Shots,8,6
ShotsOnTarget,2,2
ShotsFromPK,0,0
Passes,475,750
Crosses,18,8
DirectFK,14,18
IndirectFK,1,0
CK,6,1
Throwin,29,17
Dribbling,15,8
Tackles,28,28
Clearances,16,28
Intercepts,3,2
Offsides,0,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,48,36
PenaltyAreaEntries,12,11
DistanceCovered,120339,115570
Sprints,215,178
Attacks,122,115
ChanceBuildingRate,6.6,5.2
Possession,43.1,56.9
