,shonan-bellmare,shimizu-s-pulse
Shots,21,7
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,568,365
Crosses,32,15
DirectFK,10,10
IndirectFK,2,2
CK,10,2
Throwin,24,14
Dribbling,19,10
Tackles,17,19
Clearances,17,46
Intercepts,2,0
Offsides,2,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,70,36
PenaltyAreaEntries,24,8
DistanceCovered,122282,116987
Sprints,229,175
Attacks,137,114
ChanceBuildingRate,15.3,6.1
Possession,57.3,42.7
