,consadole-sapporo,fc-tokyo
Shots,10,15
ShotsOnTarget,5,5
ShotsFromPK,0,0
Passes,481,371
Crosses,11,18
DirectFK,18,18
IndirectFK,0,0
CK,1,6
Throwin,17,23
Dribbling,11,16
Tackles,24,22
Clearances,25,19
Intercepts,0,2
Offsides,0,0
YellowCards,2,0
RedCards,0,0
30mLineEntries,44,46
PenaltyAreaEntries,18,19
DistanceCovered,113076,111056
Sprints,163,196
Attacks,111,119
ChanceBuildingRate,9.0,12.6
Possession,53.7,46.3
