,jubilo-iwata,yokohama-fa-marinos
Shots,15,16
ShotsOnTarget,3,5
ShotsFromPK,0,0
Passes,411,435
Crosses,22,9
DirectFK,18,10
IndirectFK,5,3
CK,6,2
Throwin,24,19
Dribbling,9,9
Tackles,17,20
Clearances,17,26
Intercepts,3,1
Offsides,3,3
YellowCards,2,3
RedCards,0,1
30mLineEntries,40,29
PenaltyAreaEntries,12,14
DistanceCovered,109985,109479
Sprints,141,143
Attacks,121,108
ChanceBuildingRate,12.4,14.8
Possession,46.3,53.7
