,nagoya-grampus-eight,gamba-osaka
Shots,17,7
ShotsOnTarget,7,2
ShotsFromPK,1,1
Passes,617,486
Crosses,13,12
DirectFK,16,11
IndirectFK,2,0
CK,5,2
Throwin,14,15
Dribbling,16,8
Tackles,20,22
Clearances,13,23
Intercepts,2,1
Offsides,0,2
YellowCards,1,0
RedCards,0,0
30mLineEntries,55,52
PenaltyAreaEntries,19,8
DistanceCovered,112430,106470
Sprints,129,114
Attacks,110,107
ChanceBuildingRate,15.5,6.5
Possession,53.5,46.5
