,shimizu-s-pulse,vissel-kobe
Shots,22,10
ShotsOnTarget,7,5
ShotsFromPK,0,0
Passes,431,441
Crosses,28,7
DirectFK,14,16
IndirectFK,0,3
CK,11,1
Throwin,27,7
Dribbling,28,7
Tackles,20,24
Clearances,16,52
Intercepts,2,4
Offsides,3,0
YellowCards,2,5
RedCards,0,2
30mLineEntries,51,20
PenaltyAreaEntries,29,11
DistanceCovered,113243,110158
Sprints,136,136
Attacks,128,112
ChanceBuildingRate,17.2,8.9
Possession,46.7,53.3
