,kashiwa-reysol,shonan-bellmare
Shots,24,12
ShotsOnTarget,3,4
ShotsFromPK,0,1
Passes,571,258
Crosses,35,18
DirectFK,14,11
IndirectFK,1,3
CK,8,1
Throwin,33,30
Dribbling,21,17
Tackles,18,14
Clearances,27,46
Intercepts,1,2
Offsides,3,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,51,27
PenaltyAreaEntries,24,7
DistanceCovered,109002,119529
Sprints,147,169
Attacks,134,131
ChanceBuildingRate,17.9,9.2
Possession,62.8,37.2
