,shonan-bellmare,nagoya-grampus-eight
Shots,7,13
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,417,624
Crosses,15,17
DirectFK,10,17
IndirectFK,1,8
CK,2,3
Throwin,18,24
Dribbling,9,17
Tackles,41,13
Clearances,27,18
Intercepts,4,3
Offsides,8,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,39,46
PenaltyAreaEntries,11,14
DistanceCovered,113586,113643
Sprints,199,157
Attacks,121,131
ChanceBuildingRate,5.8,9.9
Possession,44.5,55.5
