,yokohama-fa-marinos,urawa-red-diamonds
Shots,17,9
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,573,263
Crosses,24,4
DirectFK,17,16
IndirectFK,5,3
CK,9,5
Throwin,28,18
Dribbling,20,7
Tackles,18,25
Clearances,19,46
Intercepts,3,5
Offsides,3,5
YellowCards,4,2
RedCards,0,0
30mLineEntries,60,22
PenaltyAreaEntries,17,10
DistanceCovered,108806,106234
Sprints,160,129
Attacks,117,109
ChanceBuildingRate,14.5,8.3
Possession,62.6,37.4
