,v-varen-nagasaki,vissel-kobe
Shots,6,17
ShotsOnTarget,1,5
ShotsFromPK,0,0
Passes,458,648
Crosses,12,18
DirectFK,15,9
IndirectFK,0,1
CK,4,4
Throwin,17,16
Dribbling,10,9
Tackles,13,18
Clearances,27,17
Intercepts,1,1
Offsides,1,0
YellowCards,1,3
RedCards,0,0
30mLineEntries,25,55
PenaltyAreaEntries,5,18
DistanceCovered,111711,104363
Sprints,143,129
Attacks,100,88
ChanceBuildingRate,6.0,19.3
Possession,42.8,57.2
