,cerezo-osaka,yokohama-fa-marinos
Shots,14,17
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,362,531
Crosses,17,20
DirectFK,9,12
IndirectFK,6,7
CK,8,4
Throwin,37,26
Dribbling,8,22
Tackles,22,20
Clearances,23,39
Intercepts,3,2
Offsides,7,6
YellowCards,2,0
RedCards,0,0
30mLineEntries,33,52
PenaltyAreaEntries,15,11
DistanceCovered,117391,118627
Sprints,213,204
Attacks,145,138
ChanceBuildingRate,9.7,12.3
Possession,42,58
