,yokohama-fa-marinos,sanfrecce-hiroshima
Shots,22,18
ShotsOnTarget,8,7
ShotsFromPK,0,1
Passes,621,290
Crosses,21,11
DirectFK,18,8
IndirectFK,3,3
CK,5,7
Throwin,13,10
Dribbling,21,5
Tackles,16,16
Clearances,10,19
Intercepts,0,1
Offsides,3,3
YellowCards,3,1
RedCards,0,0
30mLineEntries,68,33
PenaltyAreaEntries,15,18
DistanceCovered,106979,109000
Sprints,125,109
Attacks,104,97
ChanceBuildingRate,21.2,18.6
Possession,66.3,33.7
