,consadole-sapporo,shimizu-s-pulse
Shots,13,14
ShotsOnTarget,2,7
ShotsFromPK,0,0
Passes,665,336
Crosses,27,16
DirectFK,8,15
IndirectFK,1,4
CK,3,3
Throwin,23,9
Dribbling,16,13
Tackles,25,27
Clearances,18,27
Intercepts,2,3
Offsides,4,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,51,31
PenaltyAreaEntries,16,14
DistanceCovered,115099,114832
Sprints,148,164
Attacks,126,128
ChanceBuildingRate,10.3,10.9
Possession,64.3,35.7
