,vissel-kobe,kawasaki-frontale
Shots,10,14
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,576,572
Crosses,12,9
DirectFK,12,22
IndirectFK,1,0
CK,2,5
Throwin,14,20
Dribbling,8,6
Tackles,14,17
Clearances,22,14
Intercepts,3,5
Offsides,0,1
YellowCards,3,0
RedCards,1,0
30mLineEntries,42,51
PenaltyAreaEntries,6,14
DistanceCovered,112341,109946
Sprints,130,144
Attacks,102,112
ChanceBuildingRate,9.8,12.5
Possession,52.7,47.3
