,shimizu-s-pulse,urawa-red-diamonds
Shots,18,22
ShotsOnTarget,9,7
ShotsFromPK,0,0
Passes,427,415
Crosses,22,17
DirectFK,11,15
IndirectFK,2,1
CK,6,8
Throwin,18,13
Dribbling,24,12
Tackles,17,19
Clearances,25,21
Intercepts,4,0
Offsides,1,2
YellowCards,2,1
RedCards,0,0
30mLineEntries,56,47
PenaltyAreaEntries,16,20
DistanceCovered,111847,110555
Sprints,178,144
Attacks,123,123
ChanceBuildingRate,14.6,17.9
Possession,51.2,48.8
