,gamba-osaka,sanfrecce-hiroshima
Shots,9,12
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,597,397
Crosses,11,23
DirectFK,12,12
IndirectFK,3,1
CK,6,9
Throwin,19,20
Dribbling,9,10
Tackles,23,25
Clearances,33,30
Intercepts,4,4
Offsides,1,3
YellowCards,1,1
RedCards,0,0
30mLineEntries,82,38
PenaltyAreaEntries,9,15
DistanceCovered,105959,106066
Sprints,141,111
Attacks,113,115
ChanceBuildingRate,8.0,10.4
Possession,58.8,41.2
