,consadole-sapporo,urawa-red-diamonds
Shots,15,13
ShotsOnTarget,3,6
ShotsFromPK,0,0
Passes,548,400
Crosses,16,7
DirectFK,11,20
IndirectFK,1,2
CK,5,3
Throwin,14,17
Dribbling,9,8
Tackles,15,17
Clearances,22,30
Intercepts,1,3
Offsides,1,1
YellowCards,2,1
RedCards,0,0
30mLineEntries,34,36
PenaltyAreaEntries,16,14
DistanceCovered,115265,111352
Sprints,179,187
Attacks,113,125
ChanceBuildingRate,13.3,10.4
Possession,55.2,44.8
