,vegalta-sendai,sanfrecce-hiroshima
Shots,11,11
ShotsOnTarget,3,4
ShotsFromPK,0,0
Passes,535,401
Crosses,26,13
DirectFK,9,16
IndirectFK,4,0
CK,2,10
Throwin,19,14
Dribbling,17,11
Tackles,18,28
Clearances,19,30
Intercepts,1,3
Offsides,0,4
YellowCards,0,2
RedCards,0,0
30mLineEntries,55,46
PenaltyAreaEntries,17,16
DistanceCovered,117596,118445
Sprints,141,153
Attacks,116,120
ChanceBuildingRate,9.5,9.2
Possession,55.3,44.7
