Sec,Date,Opp,OppID,Score,GF,GA,W/L,H/A,Stadium,Attendances,Weather,AGI,KAGI,CBR,Shots,SSR,Possession,AttackCBP,PassCBP,StealP,DefenceP,Scorers,HeadCoach
1,2019-02-23,vissel-kobe,15,1-1,1,1,0,1,ノエスタ,25059,晴,31,39,0.037,4,0.25,0.346,7.42,5.99,76.12,22.0,['瀬古'],下平　隆宏
2,2019-07-04,consadole-sapporo,1,1-2,1,2,2,0,ニッパツ,0,曇,59,52,0.103,11,0.091,0.573,22.19,18.85,81.28,14.44,['一美'],下平　隆宏
3,2019-07-08,kashiwa-reysol,5,3-1,3,1,1,1,三協Ｆ柏,0,曇,41,43,0.034,4,0.5,0.511,9.67,9.54,84.85,15.57,"['斉藤光', '松浦', 'OG']",下平　隆宏
4,2019-07-12,vegalta-sendai,2,1-1,1,1,0,0,ニッパツ,2235,晴のち曇,51,38,0.049,6,0.167,0.593,15.69,13.24,71.35,16.29,['一美'],下平　隆宏
5,2019-07-18,kawasaki-frontale,7,1-5,1,5,2,0,ニッパツ,2733,曇,49,33,0.097,10,0.1,0.511,18.46,13.46,91.13,14.61,['田代'],下平　隆宏
6,2019-07-22,yokohama-fa-marinos,8,0-4,0,4,2,1,日産ス,4819,晴,49,44,0.088,12,0.0,0.469,11.62,9.97,112.94,15.37,[''],下平　隆宏
7,2019-07-26,urawa-red-diamonds,4,0-2,0,2,2,0,ニッパツ,2580,晴,59,43,0.156,15,0.0,0.542,18.77,15.33,56.56,13.3,[''],下平　隆宏
8,2019-08-01,sanfrecce-hiroshima,16,0-2,0,2,2,0,ニッパツ,2528,晴,47,41,0.069,7,0.0,0.511,13.14,11.79,66.98,13.5,[''],下平　隆宏
9,2019-08-08,gamba-osaka,13,1-2,1,2,2,1,パナスタ,4638,曇,42,38,0.168,16,0.063,0.481,15.07,13.6,64.1,18.22,['斉藤光'],下平　隆宏
10,2019-08-15,shonan-bellmare,10,4-2,4,2,1,0,ニッパツ,2938,晴,50,42,0.144,14,0.286,0.5,15.77,13.39,58.75,17.4,"['松浦', '一美', '松尾x2']",下平　隆宏
11,2019-08-19,kashima-antlers,3,1-0,1,0,1,0,ニッパツ,2773,晴,38,36,0.023,3,0.333,0.398,9.28,7.89,75.34,19.05,['皆川'],下平　隆宏
12,2019-08-22,shimizu-s-pulse,11,3-2,3,2,1,1,アイスタ,4417,曇,48,39,0.11,12,0.25,0.558,19.21,15.49,81.69,14.64,"['斉藤光', '皆川', '松尾']",下平　隆宏
