,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2018-02-23,(金),鳥栖,1-1,1,1,A,ベアスタ,19633,晴,52,51,0.129,19,0.053,0.614,20.58,15.95,89.41,13.52,['ハーフナー'],吉田　孝行
1,2,2018-03-03,(土),清水,2-4,2,4,H,ノエスタ,24058,曇,54,51,0.145,19,0.105,0.596,22.85,18.09,96.54,12.98,"['田中', 'チョンウヨン']",吉田　孝行
2,3,2018-03-01,(土),仙台,1-1,1,1,A,ユアスタ,14270,晴,45,50,0.056,7,0.143,0.366,10.02,7.61,90.82,25.11,['三原'],吉田　孝行
3,4,2018-03-18,(日),Ｃ大阪,2-0,2,0,H,ノエスタ,20108,晴,50,42,0.154,18,0.111,0.541,20.73,14.47,97.59,19.41,"['藤田', 'ルーカスポドルスキ']",吉田　孝行
4,5,2018-03-03,(金),柏,1-2,1,2,A,三協Ｆ柏,9642,晴,35,53,0.083,11,0.091,0.565,16.22,14.23,109.24,13.48,['田中'],吉田　孝行
5,6,2018-04-08,(日),Ｇ大阪,1-0,1,0,A,吹田Ｓ,20606,晴,61,45,0.135,17,0.059,0.549,23.57,15.61,109.37,19.57,['大槻'],吉田　孝行
6,7,2018-04-11,(水),浦和,2-3,2,3,H,ノエスタ,9758,屋内,39,50,0.101,11,0.182,0.617,18.68,15.48,55.3,14.1,"['ウェリントン', '佐々木']",吉田　孝行
7,8,2018-04-15,(日),横浜FM,2-1,2,1,A,日産ス,16313,曇のち晴,48,34,0.076,10,0.2,0.387,8.96,7.21,109.09,22.22,"['三田', '渡邉']",吉田　孝行
8,9,2018-04-21,(土),名古屋,3-0,3,0,H,ノエスタ,18681,晴,51,38,0.189,21,0.143,0.56,20.44,16.18,104.29,14.0,"['チョンウヨン', 'ルーカスポドルスキx2']",吉田　孝行
9,10,2018-04-25,(水),鹿島,1-1,1,1,A,カシマ,7672,晴のち曇,37,25,0.041,6,0.167,0.527,12.6,11.39,89.89,22.11,['三田'],吉田　孝行
10,11,2018-04-28,(土),川崎Ｆ,1-2,1,2,H,ノエスタ,19847,晴,35,44,0.098,10,0.1,0.527,15.7,13.91,86.21,11.37,['三田'],吉田　孝行
11,12,2018-05-02,(水),FC東京,0-0,0,0,H,ノエスタ,9015,屋内,49,41,0.091,10,0.0,0.609,18.34,14.52,62.02,14.99,[''],吉田　孝行
12,13,2018-05-06,(日),広島,0-2,0,2,A,Ｅスタ,11100,雨,57,37,0.119,14,0.0,0.644,21.86,18.79,65.79,12.37,[''],吉田　孝行
13,14,2018-05-12,(土),磐田,2-0,2,0,A,ヤマハ,14912,晴,46,34,0.083,10,0.2,0.55,13.84,9.94,76.75,21.11,"['渡邉', 'ウェリントン']",吉田　孝行
