,vegalta-sendai,albirex-niigata
Shots,14,18
ShotsOnTarget,1,6
ShotsFromPK,0,0
Passes,544,355
Crosses,22,11
DirectFK,11,15
IndirectFK,4,1
CK,6,5
Throwin,28,11
Dribbling,21,7
Tackles,23,22
Clearances,8,29
Intercepts,1,5
Offsides,1,4
YellowCards,1,3
RedCards,0,1
30mLineEntries,45,26
PenaltyAreaEntries,14,9
Attacks,148,137
ChanceBuildingRate,9.5,13.1
Possession,61.4,38.6
