,vegalta-sendai,nagoya-grampus-eight
Shots,25,9
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,420,476
Crosses,24,19
DirectFK,15,15
IndirectFK,2,3
CK,9,1
Throwin,15,13
Dribbling,6,12
Tackles,22,18
Clearances,19,24
Intercepts,5,5
Offsides,3,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,50,43
PenaltyAreaEntries,21,14
Attacks,117,112
ChanceBuildingRate,21.4,8.0
Possession,47.8,52.2
