,cerezo-osaka,oita-trinita
Shots,26,15
ShotsOnTarget,6,8
ShotsFromPK,0,0
Passes,581,397
Crosses,13,23
DirectFK,15,14
IndirectFK,1,1
CK,5,3
Throwin,26,23
Dribbling,23,10
Tackles,21,26
Clearances,25,28
Intercepts,2,3
Offsides,0,1
YellowCards,4,2
RedCards,1,0
30mLineEntries,61,37
PenaltyAreaEntries,14,9
Attacks,144,150
ChanceBuildingRate,18.1,10.0
Possession,59.3,40.7
