,sagan-tosu,oita-trinita
Shots,15,7
ShotsOnTarget,4,2
ShotsFromPK,1,0
Passes,407,286
Crosses,11,8
DirectFK,19,14
IndirectFK,0,5
CK,5,3
Throwin,24,25
Dribbling,14,13
Tackles,25,13
Clearances,26,30
Intercepts,4,2
Offsides,5,0
YellowCards,0,3
RedCards,0,0
30mLineEntries,41,28
PenaltyAreaEntries,19,6
Attacks,127,130
ChanceBuildingRate,11.8,5.4
Possession,57.4,42.6
