,oita-trinita,urawa-red-diamonds
Shots,11,26
ShotsOnTarget,6,11
ShotsFromPK,0,0
Passes,290,686
Crosses,8,15
DirectFK,12,15
IndirectFK,7,3
CK,0,8
Throwin,25,23
Dribbling,7,19
Tackles,21,19
Clearances,19,10
Intercepts,0,1
Offsides,3,5
YellowCards,5,0
RedCards,0,0
30mLineEntries,28,77
PenaltyAreaEntries,9,27
Attacks,131,135
ChanceBuildingRate,8.4,19.3
Possession,34.3,65.7
