,nagoya-grampus-eight,sanfrecce-hiroshima
Shots,10,13
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,496,459
Crosses,19,21
DirectFK,10,14
IndirectFK,4,1
CK,7,5
Throwin,13,14
Dribbling,11,14
Tackles,19,15
Clearances,14,23
Intercepts,1,3
Offsides,1,4
YellowCards,3,3
RedCards,0,0
30mLineEntries,56,45
PenaltyAreaEntries,12,6
Attacks,122,120
ChanceBuildingRate,8.2,10.8
Possession,52,48
