,sanfrecce-hiroshima,ventforet-kofu
Shots,16,6
ShotsOnTarget,9,1
ShotsFromPK,1,0
Passes,681,466
Crosses,17,7
DirectFK,9,9
IndirectFK,2,4
CK,4,1
Throwin,23,13
Dribbling,19,11
Tackles,17,12
Clearances,10,19
Intercepts,8,3
Offsides,4,2
YellowCards,2,1
RedCards,0,1
30mLineEntries,45,46
PenaltyAreaEntries,14,7
Attacks,115,102
ChanceBuildingRate,13.9,5.9
Possession,57.8,42.2
