,vegalta-sendai,kawasaki-frontale
Shots,9,20
ShotsOnTarget,3,6
ShotsFromPK,0,0
Passes,312,653
Crosses,8,14
DirectFK,15,13
IndirectFK,10,2
CK,1,9
Throwin,15,19
Dribbling,9,19
Tackles,32,15
Clearances,27,9
Intercepts,1,3
Offsides,2,10
YellowCards,2,1
RedCards,0,0
30mLineEntries,32,66
PenaltyAreaEntries,8,13
Attacks,123,128
ChanceBuildingRate,7.3,15.6
Possession,41.5,58.5
