,kashiwa-reysol,sanfrecce-hiroshima
Shots,6,15
ShotsOnTarget,2,5
ShotsFromPK,0,0
Passes,410,559
Crosses,11,19
DirectFK,7,15
IndirectFK,4,1
CK,2,10
Throwin,13,21
Dribbling,6,18
Tackles,16,15
Clearances,30,18
Intercepts,3,1
Offsides,1,4
YellowCards,2,1
RedCards,0,0
30mLineEntries,48,42
PenaltyAreaEntries,5,17
Attacks,96,122
ChanceBuildingRate,6.3,12.3
Possession,43.9,56.1
