,jubilo-iwata,sanfrecce-hiroshima
Shots,21,8
ShotsOnTarget,6,6
ShotsFromPK,0,0
Passes,606,390
Crosses,29,6
DirectFK,12,14
IndirectFK,0,2
CK,13,2
Throwin,24,21
Dribbling,28,8
Tackles,17,24
Clearances,11,39
Intercepts,3,4
Offsides,2,0
YellowCards,1,0
RedCards,0,0
30mLineEntries,78,19
PenaltyAreaEntries,16,5
Attacks,135,133
ChanceBuildingRate,15.6,6.0
Possession,58.4,41.6
