,albirex-niigata,yokohama-fa-marinos
Shots,11,16
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,362,441
Crosses,19,19
DirectFK,8,20
IndirectFK,5,3
CK,8,2
Throwin,33,32
Dribbling,14,17
Tackles,31,29
Clearances,40,30
Intercepts,10,8
Offsides,1,4
YellowCards,4,0
RedCards,0,0
30mLineEntries,31,40
PenaltyAreaEntries,14,14
Attacks,150,150
ChanceBuildingRate,7.3,10.7
Possession,46.6,53.4
