,kawasaki-frontale,ventforet-kofu
Shots,23,7
ShotsOnTarget,6,4
ShotsFromPK,1,0
Passes,621,348
Crosses,22,10
DirectFK,11,17
IndirectFK,3,2
CK,7,3
Throwin,34,21
Dribbling,13,8
Tackles,13,29
Clearances,33,41
Intercepts,0,3
Offsides,2,3
YellowCards,1,3
RedCards,0,0
30mLineEntries,52,34
PenaltyAreaEntries,20,9
Attacks,142,131
ChanceBuildingRate,16.2,5.3
Possession,57.6,42.4
