,albirex-niigata,kawasaki-frontale
Shots,21,12
ShotsOnTarget,10,4
ShotsFromPK,0,0
Passes,426,402
Crosses,17,8
DirectFK,18,10
IndirectFK,1,5
CK,8,5
Throwin,14,25
Dribbling,18,12
Tackles,29,20
Clearances,22,21
Intercepts,4,3
Offsides,5,1
YellowCards,1,3
RedCards,0,0
30mLineEntries,40,24
PenaltyAreaEntries,11,12
Attacks,121,131
ChanceBuildingRate,17.4,9.2
Possession,51.6,48.4
