,urawa-red-diamonds,omiya-ardija
Shots,26,5
ShotsOnTarget,8,1
ShotsFromPK,1,0
Passes,527,301
Crosses,18,10
DirectFK,14,15
IndirectFK,1,5
CK,8,4
Throwin,14,13
Dribbling,24,9
Tackles,12,25
Clearances,15,19
Intercepts,5,5
Offsides,5,1
YellowCards,2,2
RedCards,0,2
30mLineEntries,61,19
PenaltyAreaEntries,28,8
Attacks,122,115
ChanceBuildingRate,21.3,4.3
Possession,58.4,41.6
