,cerezo-osaka,kawasaki-frontale
Shots,23,12
ShotsOnTarget,7,4
ShotsFromPK,0,0
Passes,459,558
Crosses,13,7
DirectFK,8,10
IndirectFK,2,3
CK,3,1
Throwin,14,10
Dribbling,21,7
Tackles,15,19
Clearances,18,26
Intercepts,5,5
Offsides,3,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,50,63
PenaltyAreaEntries,11,12
Attacks,114,103
ChanceBuildingRate,20.2,11.7
Possession,46.9,53.1
