,yokohama-fa-marinos,oita-trinita
Shots,16,14
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,459,229
Crosses,24,10
DirectFK,16,9
IndirectFK,1,5
CK,14,3
Throwin,41,29
Dribbling,19,5
Tackles,15,24
Clearances,13,50
Intercepts,0,1
Offsides,4,1
YellowCards,1,2
RedCards,0,0
30mLineEntries,43,15
PenaltyAreaEntries,20,10
Attacks,152,133
ChanceBuildingRate,10.5,10.5
Possession,61.9,38.1
