,kashima-antlers,albirex-niigata
Shots,16,9
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,504,430
Crosses,13,18
DirectFK,14,10
IndirectFK,1,1
CK,4,0
Throwin,22,21
Dribbling,22,10
Tackles,21,21
Clearances,17,17
Intercepts,5,6
Offsides,1,1
YellowCards,0,3
RedCards,0,1
30mLineEntries,57,48
PenaltyAreaEntries,18,9
Attacks,135,130
ChanceBuildingRate,11.9,6.9
Possession,54,46
