,oita-trinita,kashiwa-reysol
Shots,13,10
ShotsOnTarget,5,2
ShotsFromPK,0,0
Passes,397,538
Crosses,15,15
DirectFK,14,14
IndirectFK,7,2
CK,4,1
Throwin,20,25
Dribbling,17,12
Tackles,12,14
Clearances,14,23
Intercepts,3,3
Offsides,2,6
YellowCards,3,1
RedCards,0,0
30mLineEntries,41,33
PenaltyAreaEntries,14,14
Attacks,135,132
ChanceBuildingRate,9.6,7.6
Possession,44.3,55.7
