,fc-tokyo,nagoya-grampus-eight
Shots,16,8
ShotsOnTarget,6,2
ShotsFromPK,2,0
Passes,494,474
Crosses,17,11
DirectFK,9,16
IndirectFK,1,2
CK,5,3
Throwin,20,21
Dribbling,8,9
Tackles,20,13
Clearances,18,24
Intercepts,2,3
Offsides,2,1
YellowCards,5,7
RedCards,0,1
30mLineEntries,42,34
PenaltyAreaEntries,16,11
Attacks,123,128
ChanceBuildingRate,13.0,6.3
Possession,50.3,49.7
