,shonan-bellmare,jubilo-iwata
Shots,14,16
ShotsOnTarget,4,4
ShotsFromPK,0,0
Passes,374,499
Crosses,16,26
DirectFK,18,13
IndirectFK,1,0
CK,7,4
Throwin,17,23
Dribbling,11,12
Tackles,13,7
Clearances,29,28
Intercepts,0,3
Offsides,0,1
YellowCards,0,1
RedCards,1,0
30mLineEntries,33,39
PenaltyAreaEntries,18,18
Attacks,118,104
ChanceBuildingRate,11.9,15.4
Possession,43.9,56.1
