,kawasaki-frontale,vegalta-sendai
Shots,15,25
ShotsOnTarget,6,6
ShotsFromPK,1,0
Passes,411,576
Crosses,15,29
DirectFK,10,8
IndirectFK,1,5
CK,5,8
Throwin,18,16
Dribbling,18,16
Tackles,11,20
Clearances,31,17
Intercepts,1,2
Offsides,5,1
YellowCards,1,0
RedCards,0,0
30mLineEntries,43,68
PenaltyAreaEntries,16,24
Attacks,121,118
ChanceBuildingRate,12.4,21.2
Possession,43.4,56.6
