,sanfrecce-hiroshima,shimizu-s-pulse
Shots,12,16
ShotsOnTarget,3,5
ShotsFromPK,0,1
Passes,511,322
Crosses,27,18
DirectFK,18,11
IndirectFK,6,6
CK,6,5
Throwin,19,18
Dribbling,16,9
Tackles,21,21
Clearances,19,22
Intercepts,1,0
Offsides,6,6
YellowCards,0,3
RedCards,0,0
30mLineEntries,43,38
PenaltyAreaEntries,10,9
Attacks,112,108
ChanceBuildingRate,10.7,14.8
Possession,60.6,39.4
