,kawasaki-frontale,shonan-bellmare
Shots,24,17
ShotsOnTarget,12,5
ShotsFromPK,1,0
Passes,671,335
Crosses,14,13
DirectFK,9,13
IndirectFK,3,0
CK,9,3
Throwin,16,11
Dribbling,21,5
Tackles,15,20
Clearances,17,30
Intercepts,1,7
Offsides,0,2
YellowCards,0,2
RedCards,0,0
30mLineEntries,65,30
PenaltyAreaEntries,16,9
Attacks,112,107
ChanceBuildingRate,21.4,15.9
Possession,61.1,38.9
