,kawasaki-frontale,shimizu-s-pulse
Shots,22,9
ShotsOnTarget,9,1
ShotsFromPK,1,0
Passes,517,278
Crosses,13,11
DirectFK,11,16
IndirectFK,1,7
CK,5,5
Throwin,21,18
Dribbling,35,12
Tackles,20,26
Clearances,21,25
Intercepts,5,5
Offsides,7,1
YellowCards,0,2
RedCards,0,0
30mLineEntries,49,30
PenaltyAreaEntries,24,9
Attacks,121,120
ChanceBuildingRate,18.2,7.5
Possession,58.7,41.3
