,kashiwa-reysol,omiya-ardija
Shots,16,10
ShotsOnTarget,2,4
ShotsFromPK,0,1
Passes,519,333
Crosses,23,12
DirectFK,9,11
IndirectFK,5,6
CK,7,6
Throwin,29,26
Dribbling,9,6
Tackles,26,23
Clearances,29,34
Intercepts,1,0
Offsides,6,4
YellowCards,1,0
RedCards,0,0
30mLineEntries,51,22
PenaltyAreaEntries,15,17
Attacks,141,150
ChanceBuildingRate,11.3,6.7
Possession,57.2,42.8
