,gamba-osaka,vegalta-sendai
ExpG,2.735,1.452
Shots,21,13
ShotsOnTarget,6,6
ShotsFromPK,1,0
Passes,560,416
Crosses,12,7
DirectFK,9,7
IndirectFK,1,0
CK,5,2
Throwin,19,19
Dribbling,5,12
Tackles,19,15
Clearances,11,26
Intercepts,1,2
Offsides,0,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,48,34
PenaltyAreaEntries,16,9
DistanceCovered,110782,113424
Sprints,118,147
Attacks,105,105
ChanceBuildingRate,20.0,12.4
Possession,55.5,44.5
