,nagoya-grampus-eight,avispa-fukuoka
ExpG,0.595,0.975
Shots,10,9
ShotsOnTarget,5,3
ShotsFromPK,0,0
Passes,521,339
Crosses,8,13
DirectFK,16,13
IndirectFK,0,2
CK,7,3
Throwin,15,28
Dribbling,16,10
Tackles,18,23
Clearances,22,16
Intercepts,0,3
Offsides,2,0
YellowCards,1,2
RedCards,0,0
30mLineEntries,38,25
PenaltyAreaEntries,6,4
DistanceCovered,106850,105482
Sprints,129,133
Attacks,121,124
ChanceBuildingRate,8.3,7.3
Possession,59.7,40.3
