,urawa-red-diamonds,tokushima-vortis
ExpG,0.559,1.057
Shots,7,12
ShotsOnTarget,2,4
ShotsFromPK,0,0
Passes,483,545
Crosses,8,9
DirectFK,8,9
IndirectFK,0,2
CK,2,2
Throwin,21,22
Dribbling,6,10
Tackles,27,26
Clearances,17,6
Intercepts,2,1
Offsides,2,0
YellowCards,2,0
RedCards,0,0
30mLineEntries,26,36
PenaltyAreaEntries,7,8
DistanceCovered,113620,117537
Sprints,162,160
Attacks,103,104
ChanceBuildingRate,6.8,11.5
Possession,47,53
