,cerezo-osaka,yokohama-fc
ExpG,1.203,0.633
Shots,16,8
ShotsOnTarget,10,4
ShotsFromPK,0,0
Passes,582,412
Crosses,13,12
DirectFK,8,8
IndirectFK,1,0
CK,4,3
Throwin,13,17
Dribbling,6,12
Tackles,12,14
Clearances,20,11
Intercepts,4,1
Offsides,0,1
YellowCards,2,1
RedCards,0,1
30mLineEntries,46,41
PenaltyAreaEntries,11,9
DistanceCovered,110010,109428
Sprints,137,136
Attacks,91,89
ChanceBuildingRate,17.6,9.0
Possession,58.7,41.3
