,kawasaki-frontale,sanfrecce-hiroshima
ExpG,1.999,0.4
Shots,22,6
ShotsOnTarget,6,3
ShotsFromPK,0,0
Passes,597,385
Crosses,11,5
DirectFK,11,7
IndirectFK,1,3
CK,7,3
Throwin,19,20
Dribbling,16,8
Tackles,22,30
Clearances,9,24
Intercepts,2,1
Offsides,3,1
YellowCards,0,1
RedCards,0,0
30mLineEntries,57,32
PenaltyAreaEntries,24,6
DistanceCovered,111194,115144
Sprints,171,165
Attacks,118,114
ChanceBuildingRate,18.6,5.3
Possession,56.1,43.9
