,tokushima-vortis,kashiwa-reysol
ExpG,1.189,0.79
Shots,8,9
ShotsOnTarget,2,6
ShotsFromPK,0,0
Passes,609,264
Crosses,11,7
DirectFK,19,11
IndirectFK,1,4
CK,4,3
Throwin,23,13
Dribbling,13,4
Tackles,7,22
Clearances,9,23
Intercepts,1,3
Offsides,4,1
YellowCards,1,3
RedCards,0,0
30mLineEntries,34,21
PenaltyAreaEntries,10,11
DistanceCovered,110884,111496
Sprints,167,164
Attacks,104,89
ChanceBuildingRate,7.7,10.1
Possession,66.3,33.7
