,vissel-kobe,oita-trinita
ExpG,0.837,0.295
Shots,8,5
ShotsOnTarget,2,0
ShotsFromPK,0,0
Passes,609,642
Crosses,7,8
DirectFK,7,9
IndirectFK,1,1
CK,1,1
Throwin,29,29
Dribbling,9,5
Tackles,20,24
Clearances,15,4
Intercepts,1,1
Offsides,1,1
YellowCards,0,0
RedCards,0,0
30mLineEntries,36,28
PenaltyAreaEntries,6,3
DistanceCovered,126413,125141
Sprints,189,176
Attacks,103,104
ChanceBuildingRate,7.8,4.8
Possession,49.4,50.6
