,yokohama-fc,gamba-osaka
ExpG,1.611,0.611
Shots,16,8
ShotsOnTarget,7,2
ShotsFromPK,0,0
Passes,445,436
Crosses,15,7
DirectFK,8,14
IndirectFK,3,4
CK,2,1
Throwin,25,22
Dribbling,9,6
Tackles,13,12
Clearances,17,20
Intercepts,1,0
Offsides,2,3
YellowCards,2,1
RedCards,0,1
30mLineEntries,36,21
PenaltyAreaEntries,14,6
DistanceCovered,116720,112011
Sprints,154,158
Attacks,97,104
ChanceBuildingRate,16.5,7.7
Possession,52.6,47.4
