,kashiwa-reysol,kawasaki-frontale
ExpG,0.635,1.81
Shots,4,18
ShotsOnTarget,1,7
ShotsFromPK,0,0
Passes,330,674
Crosses,11,18
DirectFK,9,12
IndirectFK,1,1
CK,1,10
Throwin,22,32
Dribbling,12,17
Tackles,15,18
Clearances,28,15
Intercepts,1,2
Offsides,1,1
YellowCards,2,2
RedCards,1,0
30mLineEntries,25,69
PenaltyAreaEntries,8,28
DistanceCovered,108148,111238
Sprints,127,144
Attacks,106,119
ChanceBuildingRate,3.8,15.1
Possession,38.3,61.7
