,yokohama-fa-marinos,consadole-sapporo
ExpG,2.419,2.216
Shots,19,21
ShotsOnTarget,7,8
ShotsFromPK,0,0
Passes,531,395
Crosses,23,9
DirectFK,13,15
IndirectFK,4,0
CK,4,9
Throwin,14,14
Dribbling,4,13
Tackles,19,12
Clearances,17,21
Intercepts,3,6
Offsides,0,4
YellowCards,2,1
RedCards,0,0
30mLineEntries,41,42
PenaltyAreaEntries,13,15
DistanceCovered,117654,114439
Sprints,205,178
Attacks,119,122
ChanceBuildingRate,16.0,17.2
Possession,53.1,46.9
