,fc-tokyo,sanfrecce-hiroshima
ExpG,0.289,1.783
Shots,4,23
ShotsOnTarget,1,4
ShotsFromPK,0,0
Passes,463,561
Crosses,5,26
DirectFK,4,12
IndirectFK,2,0
CK,4,9
Throwin,14,16
Dribbling,8,19
Tackles,16,27
Clearances,27,9
Intercepts,0,3
Offsides,0,2
YellowCards,1,0
RedCards,0,0
30mLineEntries,39,62
PenaltyAreaEntries,6,22
DistanceCovered,113818,112018
Sprints,196,192
Attacks,119,129
ChanceBuildingRate,3.4,17.8
Possession,45.3,54.7
