,sagan-tosu,yokohama-fa-marinos
ExpG,0.723,1.362
Shots,9,9
ShotsOnTarget,0,4
ShotsFromPK,0,1
Passes,318,594
Crosses,12,11
DirectFK,10,17
IndirectFK,2,10
CK,3,4
Throwin,27,24
Dribbling,6,6
Tackles,16,9
Clearances,14,10
Intercepts,2,2
Offsides,10,2
YellowCards,0,1
RedCards,1,0
30mLineEntries,24,40
PenaltyAreaEntries,8,4
DistanceCovered,112969,112119
Sprints,173,164
Attacks,114,112
ChanceBuildingRate,7.9,8.0
Possession,41.2,58.8
