,yokohama-fc,yokohama-fa-marinos
ExpG,1.381,1.728
Shots,13,15
ShotsOnTarget,6,4
ShotsFromPK,0,1
Passes,250,568
Crosses,9,17
DirectFK,12,19
IndirectFK,1,4
CK,5,2
Throwin,22,12
Dribbling,11,5
Tackles,15,16
Clearances,21,21
Intercepts,2,1
Offsides,4,1
YellowCards,3,3
RedCards,0,1
30mLineEntries,23,45
PenaltyAreaEntries,8,18
DistanceCovered,118794,115540
Sprints,246,238
Attacks,117,116
ChanceBuildingRate,11.1,12.9
Possession,38.1,61.9
