,oita-trinita,yokohama-fa-marinos
ExpG,0.146,1.211
Shots,3,18
ShotsOnTarget,1,8
ShotsFromPK,0,0
Passes,322,937
Crosses,3,32
DirectFK,7,6
IndirectFK,1,3
CK,1,7
Throwin,25,35
Dribbling,5,5
Tackles,15,15
Clearances,35,11
Intercepts,3,3
Offsides,3,2
YellowCards,1,1
RedCards,0,0
30mLineEntries,10,98
PenaltyAreaEntries,2,25
DistanceCovered,129777,125820
Sprints,194,197
Attacks,121,131
ChanceBuildingRate,2.5,13.7
Possession,31.1,68.9
