,urawa-red-diamonds,gamba-osaka
ExpG,3.525,1.609
Shots,25,10
ShotsOnTarget,7,3
ShotsFromPK,1,1
Passes,625,360
Crosses,22,6
DirectFK,7,7
IndirectFK,2,0
CK,5,2
Throwin,27,10
Dribbling,12,9
Tackles,15,15
Clearances,15,22
Intercepts,0,1
Offsides,0,2
YellowCards,0,4
RedCards,0,0
30mLineEntries,67,27
PenaltyAreaEntries,20,7
DistanceCovered,110396,113160
Sprints,122,129
Attacks,105,95
ChanceBuildingRate,23.8,10.5
Possession,63.1,36.9
