,cerezo-osaka,gamba-osaka
ExpG,3.138,2.099
Shots,18,13
ShotsOnTarget,8,3
ShotsFromPK,1,1
Passes,433,477
Crosses,23,13
DirectFK,13,5
IndirectFK,3,3
CK,3,6
Throwin,22,18
Dribbling,16,15
Tackles,16,17
Clearances,19,26
Intercepts,0,2
Offsides,3,3
YellowCards,0,1
RedCards,0,0
30mLineEntries,44,40
PenaltyAreaEntries,18,10
DistanceCovered,122101,122500
Sprints,174,227
Attacks,130,127
ChanceBuildingRate,13.8,10.2
Possession,46.9,53.1
