,kashima-antlers,yokohama-fa-marinos
ExpG,2.493,2.61
Shots,11,16
ShotsOnTarget,6,6
ShotsFromPK,1,0
Passes,311,488
Crosses,11,18
DirectFK,15,17
IndirectFK,5,5
CK,5,4
Throwin,26,19
Dribbling,4,11
Tackles,29,20
Clearances,17,15
Intercepts,2,2
Offsides,5,5
YellowCards,2,2
RedCards,1,0
30mLineEntries,32,38
PenaltyAreaEntries,11,11
DistanceCovered,119121,113721
Sprints,217,244
Attacks,131,132
ChanceBuildingRate,8.4,12.1
Possession,43.7,56.3
